Code,English,Santali Ol Chiki
Sarb,Old South Arabian,ᱢᱟᱨᱮ ᱠᱚᱭᱮᱸ ᱟᱹᱨᱵᱤ
Sgnw,SignWriting,ᱪᱤᱱᱦᱟᱹ ᱚᱞ
Shaw,Shavian,ᱥᱟᱣᱤᱭᱟᱹᱱ
Shrd,Sharada,ᱥᱟᱨᱫᱟ
Sidd,Siddham,ᱥᱤᱫᱷᱟᱹᱢ
Sind,Khudawadi,ᱠᱷᱩᱰᱟᱣᱟᱰᱤ
Sogd,Sogdian,ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ
Sogo,Old Sogdian,ᱢᱟᱨᱮ ᱥᱚᱜᱽᱰᱤᱭᱟᱹᱱ
Sora,Sora Sompeng,ᱥᱚᱨᱟ ᱥᱚᱢᱯᱮᱝ
Soyo,Soyombo,ᱥᱚᱭᱚᱢᱵᱚ
Tagb,Tagbanwa,ᱴᱟᱜᱽᱵᱟᱱᱣᱟ
Takr,Takri,ᱴᱟᱠᱨᱤ
Tang,Tangut,ᱴᱟᱝᱜᱩᱴ
Tglg,Tagalog,ᱴᱟᱜᱟᱞᱚᱜ
Tirh,Tirhuta,ᱛᱤᱨᱦᱩᱴᱟ
Ugar,Ugaritic,ᱩᱜᱟᱨᱤᱴᱤᱠ
Wara,Varang Kshiti,ᱨᱟᱝ ᱠᱷᱭᱛᱤ
Xpeo,Old Persian,ᱢᱟᱨᱮ ᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ
Xsux,Sumero-Akkadian Cuneiform,ᱥᱩᱢᱮᱨᱚᱼᱟᱠᱟᱰᱤᱭᱟᱹᱱ  ᱠᱩᱱᱮᱭᱯᱷᱚᱨᱢ
Xsux-short,S-A Cuneiform,ᱮᱥᱼᱮ ᱠᱩᱱᱮᱭᱯᱷᱚᱨᱢ
Yezi,Yezidi,ᱭᱮᱡᱤᱫᱤ
Zanb,Zanabazar Square,ᱡᱟᱱᱟᱵᱟᱡᱟᱨ ᱥᱠᱣᱮᱨ
Afak,Afaka,ᱟᱯᱷᱟᱠᱟ
Aran,Nastaliq,ᱱᱟᱥᱴᱟᱞᱤᱠ
Blis,Blissymbols,ᱥᱞᱤᱥᱭᱢᱵᱚᱞᱥ
Brai,Braille,ᱵᱽᱨᱮᱞᱤ
Cirt,Cirth,ᱥᱤᱨᱛᱷ
Cyrs,Old Church Slavonic Cyrillic,ᱢᱟᱨᱮ ᱪᱚᱨᱪ ᱥᱞᱟᱣᱚᱱᱤᱠ ᱥᱭᱨᱤᱞᱤᱠ
Egyd,Egyptian demotic,ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱰᱮᱢᱚᱱᱤᱠ
Egyh,Egyptian hieratic,ᱤᱡᱤᱯᱴᱤᱭᱟᱱ ᱦᱟᱭᱨᱮᱴᱤᱠ
