Code,English,Santali (Ol Chiki)
Sumerian ► sux,Sumerian,ᱥᱩᱢᱮᱨᱤᱭᱟᱹᱱ
Sundanese ► su,Sundanese,ᱥᱩᱱᱰᱟᱱᱤᱡᱽ
Susu ► sus,Susu,ᱥᱩᱥᱩ
Swahili ► sw,Swahili,ᱥᱣᱟᱦᱤᱞᱤ
Swahili ► sw_CD,Congo Swahili,ᱠᱚᱝᱜᱚ ᱥᱣᱟᱦᱤᱞᱤ
Swati ► ss,Swati,ᱥᱣᱟᱛᱤ
Swedish ► sv,Swedish,ᱥᱣᱮᱫᱤᱥ
Swiss German ► gsw,Swiss German,ᱥᱣᱤᱥ ᱡᱟᱹᱨᱢᱟᱹᱱ
Syriac ► syr,Syriac,ᱥᱭᱨᱤᱭᱟᱠ
,,
,,
,,
