Code,English,Santali (Ol Chiki)
Chinese ► zh_Hant,Traditional Chinese,ᱴᱨᱮᱰᱤᱥᱱᱟᱞ ᱪᱟᱭᱱᱤᱡᱽ
Chinese ► zh_Hant-long,Traditional Mandarin Chinese,ᱴᱨᱮᱰᱤᱥᱱᱟᱞ ᱢᱟᱫᱟᱨᱤᱱ ᱪᱟᱭᱱᱤᱡᱽ
Chinese ► zh-long,Mandarin Chinese,ᱢᱟᱹᱱᱰᱟᱨᱤᱭᱟᱹᱱ ᱪᱟᱭᱱᱤᱡᱽ
Chinese ► zh-menu,"Chinese, Mandarin","ᱪᱟᱭᱱᱤᱡᱽ, ᱢᱟᱱᱰᱟᱨᱤᱱ"
Chinook Jargon ► chn,Chinook Jargon,ᱪᱤᱱᱩᱠ ᱡᱟᱨᱜᱚᱱ
Chipewyan ► chp,Chipewyan,ᱪᱤᱯᱮᱭᱟᱱ
Choctaw ► cho,Choctaw,ᱪᱷᱚᱠᱴᱟᱣ
Church Slavic ► cu,Church Slavic,ᱪᱚᱨᱪ ᱥᱞᱟᱣᱤᱠ
Chuukese ► chk,Chuukese,ᱪᱷᱩᱠᱤᱡᱽ
Chuvash ► cv,Chuvash,ᱪᱷᱩᱣᱟᱥ
Classical Newari ► nwc,Classical Newari,ᱠᱞᱟᱥᱤᱠᱟᱠ ᱱᱮᱣᱟᱨᱤ
Classical Syriac ► syc,Classical Syriac,ᱠᱞᱟᱥᱤᱠᱟᱞ ᱥᱭᱨᱤᱭᱟᱠ
Colognian ► ksh,Colognian,ᱠᱚᱞᱚᱜᱱᱤᱭᱟᱹᱱ
Comorian ► swb,Comorian,ᱠᱚᱢᱚᱨᱤᱭᱟᱹᱱ
Coptic ► cop,Coptic,ᱠᱚᱞᱴᱤᱠ
Cornish ► kw,Cornish,ᱠᱚᱨᱱᱤᱥ
Corsican ► co,Corsican,ᱠᱚᱨᱥᱤᱠᱟᱱ
Cree ► cr,Cree,ᱠᱨᱤ
Crimean Turkish ► crh,Crimean Turkish,ᱠᱨᱤᱢᱤᱭᱟᱹᱱ ᱛᱩᱨᱠᱤᱥ
Croatian ► hr,Croatian,ᱠᱨᱚᱮᱥᱤᱭᱟᱹᱱ
Czech ► cs,Czech,ᱡᱮᱠ
,,
,,
D,,
,,
Dakota ► dak,Dakota,ᱰᱟᱹᱠᱚᱴᱟ
Danish ► da,Danish,ᱰᱮᱱᱤᱥ
Dargwa ► dar,Dargwa,ᱰᱟᱹᱨᱜᱽᱣᱟ
Dazaga ► dzg,Dazaga,ᱰᱟᱡᱟᱜᱟ
Delaware ► del,Delaware,ᱰᱮᱞᱟᱣᱟᱨᱮ
Dinka ► din,Dinka,ᱰᱤᱱᱠᱟ
Divehi ► dv,Divehi,ᱰᱤᱣᱮᱦᱤ
Dogri ► doi,Dogri,ᱰᱚᱜᱽᱨᱤ
Dogrib ► dgr,Dogrib,ᱰᱚᱜᱽᱨᱤᱵ
Duala ► dua,Duala,ᱰᱣᱟᱞᱟ
Dutch ► nl,Dutch,ᱰᱚᱪ
Dutch ► nl_BE,Flemish,ᱯᱷᱞᱮᱢᱤᱥ
Dyula ► dyu,Dyula,ᱰᱭᱩᱞᱟ
Dzongkha ► dz,Dzongkha,ᱡᱚᱝᱠᱷᱟ
,,
,,
, ,
,,
