Category	Santali	English	Odia	ᱨᱚᱱᱚᱲ	ᱢᱮᱱᱮᱛ																				
Eatables	ᱤᱛᱤᱞ ᱥᱩᱱᱩᱢ	ghee		Noun																					
Eatables	ᱪᱚᱴᱱᱤ	sauce		Noun																					
Eatables	ᱪᱟᱱᱟ/ᱪᱷᱚᱞᱟ	gram		Noun																					
Eatables	ᱪᱟᱣᱞᱮ	rice		Noun																					
Eatables	ᱪᱟᱭ	tea		Noun																					
Eatables	ᱪᱤᱱᱤ	sugar		Noun																					
Eatables	ᱯᱟ.ᱱᱤᱨ	cheese		Noun																					
Eatables	ᱩᱛᱩ	vegetables		Noun																					
Eatables	ᱥᱩᱱᱩᱢ	oil		Noun																					
Eatables	ᱫᱟ.ᱞ	pulse		Noun																					
Eatables	ᱵᱤᱞᱟ.ᱛᱤ ᱪᱟᱴᱱᱤ	tomato sauce		Noun																					
Eatables	ᱵᱚᱨᱚᱯᱷ	ice		Noun																					
Eatables	ᱵᱤᱥᱠᱩᱴ	biscuit		Noun																					
Eatables	ᱡᱚᱱᱚᱲᱟ	maiz		Noun																					
Eatables	ᱡᱤᱞ	meat		Noun																					
Eatables	ᱰᱟᱜᱽᱨᱤ ᱡᱤᱞ	beef		Noun																					
Eatables	ᱢᱮᱨᱚᱢ ᱡᱤᱞ	mutton		Noun																					
Eatables	ᱥᱩᱠᱨᱤ ᱡᱤᱞ	pork		Noun																					
Eatables	ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ	sugar candy		Noun																					
Eatables	ᱢᱟᱭᱫᱟ	maida		Noun																					
Eatables	ᱛᱩᱲᱤ	mustard		Noun																					
Eatables	ᱧᱤᱸᱫᱟ ᱫᱟᱠᱟ	bread		Noun																					
Eatables	ᱥᱚᱨᱵᱚᱛ	syrup		Noun																					
Eatables	ᱯᱟ.ᱨᱣᱟ	wine		Noun																					
Eatables	ᱧᱮᱸᱞᱮᱨᱟᱥᱟ	honey		Noun																					
Eatables	ᱛᱩᱲᱤ ᱥᱩᱱᱩᱢ	mustard oil		Noun																					
Eatables	ᱥᱮᱣᱚ	apple		Noun																					
Eatables	ᱠᱟᱭᱨᱟ	banana		Noun																					
Eatables	ᱟᱨᱟᱜ ᱢᱩᱞᱟ	carrot		Noun																					
Eatables	ᱵᱤᱞᱟ.ᱛᱤ ᱥᱷᱚᱥᱷᱚ	cashew		Noun																					
Eatables	ᱠᱷᱟ.ᱡᱩᱨ	date		Noun																					
Eatables	ᱟᱸᱜᱩᱨ	grape		Noun																					
Eatables	ᱞᱤᱪᱩ	lychee		Noun																					
Eatables	ᱩᱞ	mango		Noun																					
Eatables	ᱠᱚᱢᱞᱟ, ᱡᱟ.ᱢᱵᱤᱨ	orange		Noun																					
Eatables	ᱟᱱᱟᱨ	pomegranate		Noun																					
Eatables	ᱡᱚᱡᱚ ᱡᱚ	tamarind		Noun																					
Eatables	ᱫᱟᱜᱠᱚᱦᱲᱟ	watermelon		Noun																					
Eatables	ᱵᱚᱨᱚᱯᱷ	ice		Noun																					
Eatables	ᱟᱪᱟᱨ	pickle		Noun																					
Eatables	ᱛᱚᱣᱟ	milk		Noun																					
Eatables	ᱪᱤᱱᱤ	sugar		Noun																					
Eatables	ᱯᱚᱱᱤᱨ	cheese		Noun																					
Eatables	ᱵᱤᱥᱠᱩᱴ	biscuit		Noun																					
Eatables	ᱢᱤᱥᱨᱤ ᱪᱤᱱᱤ	sugar candy		Noun																					
Eatables	ᱥᱚᱨᱵᱚᱛ	syrup		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
Eatables	#	%		Noun																					
																									
Birds	ᱢᱟᱨᱟᱜ	peacock		Noun																					
Birds	ᱢᱤᱨᱩ	parrot		Noun																					
Birds	ᱠᱟ.ᱦᱩ	crow		Noun																					
Birds	ᱯᱟᱨᱣᱟ	pigeon		Noun																					
Birds	ᱠᱤᱥᱱᱤ	myna		Noun																					
Birds	ᱞᱮᱴᱠᱟ ᱪᱮᱸᱬᱮ	sparrow		Noun																					
Birds	ᱠᱩᱲᱤᱫ	eagle		Noun																					
Birds	ᱠᱚᱡᱚᱨ	owl		Noun																					
Birds	ᱥᱤᱢ ᱥᱟ.ᱰᱤ	cock		Noun																					
Birds	ᱥᱤᱢ ᱮᱸᱜᱟ	hen		Noun																					
Birds	ᱜᱮᱲᱮ	duck		Noun																					
Birds	ᱢᱟᱨᱟᱝ ᱜᱮᱰᱮ	swan		Noun																					
Birds	ᱜᱤᱫᱤ	vulture		Noun																					
																									
Vegetable	ᱟ.ᱞᱩ	potato		Noun																					
Vegetable	ᱵᱟᱦᱟ ᱠᱩᱵᱤ	cauliflower		Noun																					
Vegetable	ᱯᱚᱴᱚᱢ ᱠᱩᱵᱤ	cabbage		Noun																					
Vegetable	ᱜᱟᱡᱚᱨ	carrot		Noun																					
Vegetable	ᱛᱟᱦᱮᱨ	cucumber		Noun																					
Vegetable	ᱰᱮᱸᱜᱟᱲ	brinjal		Noun																					
Vegetable	ᱯᱮᱭᱟᱡ	onion		Noun																					
Vegetable	ᱢᱚᱴᱚᱨ ᱪᱷᱚᱞᱟ	pea		Noun																					
Vegetable	ᱠᱟᱨᱞᱟ	bitter gourd		Noun																					
Vegetable	ᱡᱩᱞᱟ.	raddish		Noun																					
Vegetable	ᱵᱤᱞᱟ.ᱛᱤ	tomato		Noun																					
Vegetable	ᱦᱚᱛᱚᱫ	bottle gourd		Noun																					
Vegetable	ᱚᱫᱟ	ginger		Noun																					
Vegetable	ᱯᱟᱞᱚᱱ ᱟᱲᱟᱜ	spinach		Noun																					
Vegetable	ᱟᱨᱟᱜ ᱢᱩᱞᱟ.	turnip		Noun																					
Vegetable	ᱢᱟ.ᱨᱤᱪ	chilli		Noun																					
Vegetable	ᱵᱷᱮᱰᱣᱟ	lady finger		Noun																					
Vegetable	ᱯᱩᱫᱱᱟ.	mint		Noun																					
Vegetable	ᱡᱟᱲᱟ	papaya		Noun																					
Vegetable	ᱢᱚᱥᱞᱟ ᱥᱟᱠᱟᱢ	coriender		Noun																					
Vegetable	ᱜᱷᱟᱱᱴᱟᱲ	jack fruit		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
Vegetable	#	%		Noun																					
																									
Animal	ᱪᱤᱛᱟ	panther		Noun																					
Animal	ᱠᱟᱴᱟᱣᱟ ᱛᱟ.ᱨᱩᱵ	lion		Noun																					
Animal	ᱛᱟ.ᱨᱩᱵ	tiger		Noun																					
Animal	ᱵᱤᱨ ᱥᱩᱠᱨᱤ	boar		Noun																					
Animal	ᱵᱟᱱᱟ	bear		Noun																					
Animal	ᱦᱟ.ᱬᱩ	monkey		Noun																					
Animal	ᱵᱤᱨᱦᱚᱲ	gorilla		Noun																					
Animal	ᱦᱟ.ᱛᱤ	elephant		Noun																					
Animal	ᱡᱤᱞ	deer		Noun																					
Animal	ᱠᱩᱞᱟ.ᱭ	rabbit		Noun																					
Animal	ᱛᱩᱭᱩ	fox		Noun																					
Animal	ᱦᱟᱰᱜᱟᱨ	hyena		Noun																					
Animal	ᱡᱤᱞ ᱦᱤᱡ ᱜᱤᱫᱨᱟ.	fawn		Noun																					
Animal	ᱛᱩᱲ	squirrel		Noun																					
Animal	ᱫᱟᱜ ᱦᱟ.ᱛᱤ	rhinoceros		Noun																					
Animal	ᱥᱟᱫᱚᱢ	horse		Noun																					
Animal	ᱯᱩᱥᱤ	cat		Noun																					
Animal	ᱜᱟᱫᱷᱟ	ass		Noun																					
Animal	ᱵᱷᱤᱰᱤ	sheep		Noun																					
Animal	ᱩᱸᱴ	camel		Noun																					
Animal	ᱥᱮᱛᱟ	dog		Noun																					
Animal	ᱮᱸᱜᱟ ᱥᱮᱛᱟ	bitch		Noun																					
Animal	ᱜᱟ.ᱭ	cow		Noun																					
Animal	ᱮᱸᱜᱟ ᱥᱟᱫᱚᱢ	mare		Noun																					
Animal	ᱥᱟᱫᱚᱢ ᱜᱤᱫᱽᱨᱟ.	colt		Noun																					
Animal	ᱪᱩᱴᱩ	mouse		Noun																					
Animal	ᱢᱮᱨᱚᱢ	he goat		Noun																					
Animal	ᱮᱸᱜᱟ ᱢᱮᱨᱚᱢ	she goat		Noun																					
Animal	ᱢᱮᱨᱚᱢ ᱜᱤᱫᱽᱨᱟ.	kid		Noun																					
Animal	ᱫᱟᱢᱠᱚᱢ	calf		Noun																					
Animal	ᱯᱩᱥᱤ ᱜᱤᱫᱽᱨᱟ.	kitten		Noun																					
Animal	ᱰᱟᱝᱨᱟ	ox		Noun																					
Animal	ᱵᱷᱤᱰᱤ ᱜᱤᱫᱽᱨᱟ.	lamb		Noun																					
Animal	ᱠᱟᱲᱟ	buffalo		Noun																					
Animal	ᱥᱮᱸᱫᱽᱨᱟ ᱥᱮᱛᱟ	hoond		Noun																					
Animal	ᱥᱚᱲᱚ	bull		Noun																					
Animal	ᱥᱩᱠᱨᱤ	pig		Noun																					
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
Animal	#	%																							
																									
Time	ᱫᱤᱱ	day		Noun																					
Time	ᱦᱟᱴ	week		Noun																					
Time	ᱪᱟᱸᱫᱚ	month		Noun																					
Time	ᱥᱮᱨᱢᱟ	year		Noun																					
Time	ᱴᱟᱲᱟᱝ	hour		Noun																					
Time	ᱴᱤᱯᱤᱡ	minute		Noun																					
Time	ᱴᱤᱡ	second		Noun																					
Time	ᱥᱤᱸᱜᱩᱱ	sunday		Noun																					
Time	ᱚᱛᱮ	monday		Noun																					
Time	ᱵᱟᱞᱮ	tuesday		Noun																					
Time	ᱥᱟ.ᱜᱩᱱ	wednesday		Noun																					
Time	ᱥᱟ.ᱨᱫᱤ	thursday		Noun																					
Time	ᱡᱟ.ᱨᱩᱵ	friday		Noun																					
Time	ᱧᱩᱸᱦᱩᱢ	saturday		Noun																					
Time	ᱡᱟᱱᱩᱟᱨᱤ	january		Noun																					
Time	ᱯᱦᱮᱵᱨᱩᱟᱨᱭ	february		Noun																					
Time	ᱢᱟᱨᱪ	march		Noun																					
Time	ᱮᱯᱨᱤᱞ	april		Noun																					
Time	ᱢᱮᱭ	may		Noun																					
Time	ᱡᱩᱱ	june		Noun																					
Time	ᱡᱩᱞᱭ	july		Noun																					
Time	ᱟᱜᱚᱥᱴ	august		Noun																					
