Sl. No.,S.N,Santali Latin,SANTALI
432,Stephegyne parvifolia,gõ̱ṛẽ̱,ᱜᱚᱸᱲᱮᱸ
433,Sterculia villosa,gańjheṛ,ᱜᱟᱧᱡᱷᱮᱨ
434,Sterculia urens,"telhec̕, terhec̕","ᱛᱮᱞᱦᱮᱡ, ᱛᱮᱨᱦᱮᱡ"
435,Sterculia colorata,udạl,ᱩᱰᱟᱹᱞ
436,Stereospermum suaviolens,paḍer,ᱯᱟᱰᱮᱨ
437,Streblus asper,sahṛa,ᱥᱟᱦᱲᱟ
438,Strobilanthus auriculatus,"gaḍa kalha, harua pakoṛ","ᱜᱟᱰᱟ ᱠᱟᱞᱦᱟ, ᱦᱟᱨᱩᱣᱟᱹ ᱯᱟᱠᱚᱲ"
439,Strychnos potatorum,"khucilạ, khuclạ, kucilạ, kuclạ","ᱠᱷᱩᱪᱤᱞᱟᱹ, ᱠᱷᱩᱪᱞᱟᱹ, ᱠᱩᱪᱤᱞᱟᱹ, ᱠᱩᱪᱞᱟᱹ"
440,Symplocos racemosa,lodam,ᱞᱚᱪᱟᱢ
441,Tacca pinnatifida,"boṅga ṭaeni, ṭạini","ᱵᱚᱝᱜᱟ ᱴᱟᱮᱱᱤ, ᱴᱟᱹᱭᱱᱤ"
442,Tamarindus indicus,jo̱jo̱ dare,ᱡᱚᱡᱚ ᱫᱟᱨᱮ
443,Tamarix ericoides,jhãwar,ᱡᱷᱟᱸᱣᱟᱨ
444,Tectona grandis,"loṭpoṭo dare, sạgun, sạgunạ, sagwan","ᱞᱚᱴᱯᱚᱴᱚ ᱫᱟᱨᱮ, ᱥᱟᱹᱜᱩᱱ, ᱥᱟᱹᱜᱩᱱᱟᱹ, ᱥᱟᱜᱣᱟᱱ"
445,Terminalia tomentosa,atnak̕,ᱟᱴᱱᱟᱠ
446,Terminalia arjuna,kạuhạ,ᱠᱟᱹᱣᱦᱟᱹ
447,Terminalia belerica,lo̱po̱ṅ dare,ᱯᱚᱯᱚᱝ ᱫᱟᱨᱮ
448,Terminalia chebula,"juṅgi, ro̱l","ᱡᱩᱝᱜᱤ, ᱨᱳᱞ"
449,Tetranther monopetala,pojo,ᱯᱚᱡᱚ
450,Themuda gigantea,kũs,ᱠᱩᱸᱥ
451,Thespasia lampas,bo̱nkạpsi,ᱱᱚᱱᱠᱟᱹᱯᱥᱤ
452,Thevita neriifolia,bereńjo̱,ᱵᱮᱨᱮᱧᱡᱚ
453,Thysanoloena acarifera,"karsaṛ, kharsaṛ","ᱠᱟᱨᱥᱟᱲ, ᱠᱷᱟᱨᱥᱟᱲ"
454,Tragia involucrata,se̱ṅge̱l siń,ᱥᱮᱝᱜᱮᱞ ᱥᱤᱧ
455,Trema amboinensis,jhãwar,ᱡᱷᱟᱸᱣᱟᱨ
456,Triticun sativum,guhum,ᱜᱩᱦᱩᱢ
457,Triumfetta rhomboidea,nanha bhiḍi janaṭet̕,ᱱᱟᱱᱦᱟ ᱵᱷᱤᱱᱰᱤ ᱡᱟᱱᱟᱴᱤᱛ
458,Tylophoba longifolia,sondhaeni,ᱥᱚᱱᱰᱷᱟᱮᱱᱤ
459,Uraria lagopoides,lo̱po̱ṅ heṛak̕,ᱞᱚᱯᱚᱝ ᱦᱮᱲᱟᱜ
460,Urena sinuata,moṭa bhiḍi janaṭet̕,ᱢᱚᱴᱟ ᱵᱷᱤᱰᱤ ᱡᱟᱱᱟᱴᱮᱛ
461,Utricularia bifida,arak̕ jhãwar,ᱟᱨᱟᱜ ᱡᱷᱟᱸᱣᱟᱨ
462,Vanda roxburghii,dare bạṅki,ᱫᱟᱨᱮ ᱵᱟᱹᱝᱠᱤ
463,Ventilago calyculata,"boṅga sarjo̱m, sarjo̱m","ᱵᱚᱝᱜᱟ ᱥᱟᱨᱡᱚᱢ, ᱥᱟᱨᱡᱚᱢ"
464,Vernonia cinereal,"bạhu ṭuṭuri, baraṅgom, bir lo̱po̱ṅ aṛak̕, ḍuryạ aṛak̕, jhurjhuri, ṭuṭuri","ᱵᱟᱹᱦᱩ ᱴᱩᱴᱩᱨᱤ, ᱵᱟᱨᱟᱝᱜᱚᱢ, ᱵᱤᱨ ᱞᱚᱯᱚᱝ ᱟᱲᱟᱜ, ᱫᱩᱨᱭᱟᱹ ᱟᱲᱟᱜ, ᱡᱷᱩᱨᱡᱷᱩᱨᱤ, ᱴᱩᱴᱩᱨᱤ"
465,Vernonia anthelmintica,sãoraj,ᱥᱟᱸᱣᱨᱟᱡᱽ
466,Vernonia divergens,baṛa pathol,ᱵᱟᱲᱟ ᱯᱟᱛᱷᱚᱞ
467,Vernonia roxburghii,ḍora bo̱ho̱k̕,ᱰᱚᱨᱟ ᱵᱚᱦᱚᱜ
468,Vigna vexillata,"bir ghaṅgra, seṛwań","ᱵᱤᱨ ᱜᱷᱟᱝᱜᱽᱨᱟ, ᱥᱮᱲᱣᱟᱝ"
469,Vigna catiang,"boḍa ghaṅgra, cihṛi ghaṅgra, ḍaṅ ghaṅgra, ghạngri","ᱵᱚᱰᱟ ᱜᱷᱟᱝᱜᱽᱨᱟ, ᱪᱤᱦᱲᱤ ᱜᱷᱟᱝᱜᱽᱨᱟ, ᱰᱟᱝ ᱜᱷᱟᱝᱜᱽᱨᱟ, ᱜᱷᱟᱝᱜᱽᱨᱤ"
470,Viscum attenuatum,kaṭko̱m jaṅga,ᱠᱟᱴᱠᱚᱢ ᱡᱟᱝᱜᱟ
471,Viscum monoicum,paṭcamṛa banda,ᱯᱟᱴᱪᱟᱢᱵᱲᱟ ᱵᱟᱱᱰᱟ
472,Vitex alata,bhạdu,ᱵᱷᱟᱹᱰᱩ
473,Vitex negundo,sindwạri dare,ᱥᱤᱱᱫᱽᱣᱟᱹᱨᱤ ᱫᱟᱨᱮ
474,Vitis adnata,"bod nãṛi, bodlaṛ nạ̃ṛi","ᱵᱳᱰ ᱱᱟᱸᱲᱤ, ᱵᱳᱰᱞᱟᱹᱲ ᱱᱟᱸᱲᱤ"
475,Vitis tomentosa,ghoṛa lidi,ᱜᱷᱚᱲᱟ ᱞᱤᱰᱤ
476,Vitis latifolia,"ic̕er, ic̕ewer","ᱤᱪᱮᱨ, ᱤᱪᱮᱣᱮᱨ"
477,Wedelia wallichii,mạsuṛdaṅ,ᱢᱟᱹᱥᱩᱲᱰᱟᱝ
478,Wendlandia exerta,pichạri baha,ᱯᱤᱪᱷᱟᱹᱨᱤ ᱵᱟᱦᱟ
479,Wendlandia tinctoria,tilại dare,ᱴᱤᱞᱟᱹᱭ ᱫᱟᱨᱮ
480,Woodfordia floribunda,"icạk̕, nicạk̕","ᱤᱪᱟᱹᱜ, ᱱᱤᱪᱟᱹᱜ"
481,Wrightia tomentosa,"aṭkuṛạ, aṭkuṛạ aṛạk̕, buru mackunda","ᱟᱴᱠᱩᱲᱟᱹ, ᱟᱴᱠᱩᱲᱟᱹ ᱟᱲᱟᱜ, ᱵᱩᱨᱩ ᱢᱟᱪᱠᱩᱱᱫᱟᱹ"
482,Yucca gloriosa,ghi kuạ̃r,ᱜᱷᱤ ᱠᱩᱣᱟᱹᱨ
483,Zea mays,"goco, joṇḍra","ᱜᱚᱪᱚ, ᱡᱚᱱᱫᱽᱨᱟ"
484,Zehneria umbellata,"at, kundri","ᱟᱛ, ᱠᱩᱱᱫᱽᱨᱤ"
485,Zingiber officinale,"ada, adhe̱","ᱟᱰᱟ, ᱟᱰᱷᱮ"
486,Zizyphus jujube,"ḍeḍhaoṛe, ḍiḍhạuṛi, e̱ḍhe̱ jạnum, jo̱m jạnum","ᱰᱮᱰᱷᱟᱣᱲᱮ, ᱰᱤᱰᱷᱟᱹᱣᱲᱤ, ᱮᱰᱷᱮ ᱡᱟᱹᱱᱩᱢ, ᱡᱚᱢ ᱡᱟᱹᱱᱩᱢ"
487,Zizyphus xylopyra,karkaṭ,ᱠᱟᱨᱠᱟᱛ
488,Zizyphus oxyphylla,kuṛit̕,ᱠᱩᱲᱤᱛ
489,Zizyphus rugosa,sekra,ᱥᱮᱠᱨᱟ
490,Zornia diphylla,"jhạpni, ṭạṇḍi jhạpni","ᱡᱷᱟᱹᱯᱤ, ᱴᱟᱹᱱᱰᱤ ᱡᱷᱟᱹᱯᱱᱤ"
,,,
,,,
