Sl. No.,S.N,Santali Latin,SANTALI
100,Cassia,"bandor lạuṛi, mirju baha, ńũṛũc̕","ᱵᱟᱱᱰᱚᱨ ᱞᱟᱹᱣᱲᱤ, ᱢᱤᱨᱡᱩ ᱵᱟᱦᱟ, ᱧᱩᱸᱲᱩᱸᱪ"
101,Cassia tora,"bheḍa dereń, cakao ḍa","ᱵᱷᱮᱰᱟ ᱰᱮᱨᱮᱧ, ᱪᱟᱠᱟᱣ ᱰᱟ"
102,Cassia mimosoides,"o̱t kondro, paṭwa ghãs","ᱚᱛ ᱠᱚᱱᱰᱨᱚ, ᱯᱟᱛᱣᱟ ᱜᱷᱟᱸᱥ"
103,Cassytha filiformis,alag jạṛi,ᱟᱞᱟᱜ ᱡᱟᱹᱲᱤ
104,Casuarina equisetifolia,sãe sũi dare,ᱥᱟᱹᱮ ᱥᱩᱸᱭᱤ ᱫᱟᱨᱮ
105,Celastrus paniculatus,kujri,ᱠᱩᱡᱨᱤ
106,Celocasia antiquorum,sạru,ᱥᱟᱹᱨᱩ
107,Celocia argenta,"sirgiṭ aṛak̕, siń dico̱g","ᱥᱤᱨᱜᱤᱴ ᱟᱲᱟᱜ, ᱥᱤᱧ ᱰᱳᱪᱚᱜ"
108,Centifida orbicularis,bhiḍi ạchim,ᱵᱷᱤᱰᱤ ᱟᱹᱪᱷᱤᱢ
109,Cheilanthus tenuifolia,nanha bodhạri,ᱱᱟᱱᱦᱟ ᱵᱚᱰᱷᱟᱹᱨᱤ
110,Chenopodium album,bhạtuạ aṛak̕,ᱵᱷᱟᱹᱴᱩᱣᱟᱹ ᱟᱲᱟᱜ
111,Chlorophitum arundinaceum,"je̱re̱ń aṛak̕, je̱re̱t̕ aṛak̕","ᱡᱮᱨᱮᱧ ᱟᱲᱟᱜ, ᱡᱮᱨᱮᱛ ᱟᱲᱟᱜ"
112,Cicer arietinum,buṭ,ᱵᱩᱴ
113,Cinnamonum obtusifolium,tejpat,ᱛᱮᱡᱯᱟᱛ
114,Cissampelos pareira,tejo mala,ᱛᱮᱡᱚ ᱢᱟᱞᱟ
115,Cissus quadrangularis,haḍ joṛa,ᱦᱟᱰ ᱡᱚᱲᱟ
116,Citrus medica,jạmbir dare,ᱡᱟᱹᱢᱵᱤᱨ ᱫᱟᱨᱮ
117,Clematis nutans,bońga ghạṇṭi,ᱵᱚᱝᱜᱟ ᱜᱷᱟᱹᱱᱴᱤ
118,Clerodendron infortunatum,bạrni kharbạri,ᱵᱟᱹᱨᱱᱤ ᱠᱷᱟᱨᱵᱟᱹᱨᱤ
119,Clerodendron phlomoides,pańjot,ᱯᱟᱧᱡᱚᱢ
120,Clerodendron serratum,saram lutur,ᱥᱟᱨᱟᱢ ᱞᱩᱛᱩᱨ
121,Cochlosperma gossypium,hopo,ᱦᱚᱯᱚ
122,Coix lachryma,"gargạḍi, jargạḍi","ᱜᱟᱹᱨᱜᱟᱹᱰᱤ, ᱡᱟᱨᱜᱟᱹᱰᱤ"
123,Colebrookia oppositifolia,bhãisa,ᱵᱷᱟᱸᱭᱤᱥᱟ
124,Colocasia,picki,ᱯᱤᱪᱠᱤ
125,Combretum decandrum,aṭen,ᱟᱴᱮᱱ
126,Combretum nana,"berdoṛ, bhursạ","ᱵᱮᱨᱫᱚᱲ, ᱵᱷᱩᱨᱥᱟᱹ"
127,Commelyna salioi jolia (sic- Commelina sativa jolia),bir kana aṛak̕,ᱵᱤᱨ ᱠᱟᱱᱴᱟ ᱟᱲᱟᱜ
