"ᱪᱟᱭᱱᱤᱡᱽ, ᱠᱟᱱᱴᱚᱱᱤᱡᱽ","Chinese, Cantonese",
"ᱪᱟᱭᱱᱤᱡᱽ, ᱢᱟᱱᱰᱟᱨᱤᱱ","Chinese, Mandarin",
ᱪᱟᱰᱤᱭᱟᱹᱱ ᱟᱹᱨᱮᱵᱤᱠ,Chadian Arabic,
ᱪᱟᱱᱟ/ᱪᱷᱚᱞᱟ,gram,
ᱪᱟᱸᱫᱚ,month,
ᱪᱤᱛᱟ,panther,
ᱪᱤᱯᱮᱭᱟᱱ,Chipewyan,
ᱪᱤᱱᱤ,sugar,
ᱪᱤᱱᱦᱟᱹ,Symbols,
ᱪᱤᱱᱦᱟᱹ ᱚᱞ,SignWriting,
ᱪᱤᱱᱩᱠ ᱡᱟᱨᱜᱚᱱ,Chinook Jargon,
ᱪᱩᱴᱩ,mouse,
ᱪᱮᱛᱟᱱ ᱛᱚᱨᱵᱤᱭᱟᱹᱱ,Upper Sorbian,
ᱪᱷᱚᱠᱴᱟᱣ,Choctaw,
ᱪᱷᱟᱜᱟᱴᱟᱭ,Chagatai,
ᱪᱷᱟᱠᱢᱟ,Chakma,
ᱪᱷᱟᱢ,Cham,
ᱪᱷᱟᱢᱚᱨᱚ,Chamorro,
ᱪᱷᱟᱹᱢᱠᱟ,Chakma,
ᱪᱷᱤᱜᱟ,Chiga,
ᱪᱷᱤᱠᱟᱥᱚ,Chickasaw,
ᱪᱷᱤᱢᱵᱚᱨᱟᱡᱚ ᱦᱟᱭᱞᱮᱸᱱᱰ ᱠᱣᱤᱪᱷᱩᱣᱟ,Chimborazo Highland Quichua,
ᱪᱷᱤᱵᱪᱷᱟ,Chibcha,
ᱪᱷᱩᱠᱤᱡᱽ,Chuukese,
ᱪᱷᱩᱣᱟᱥ,Chuvash,
ᱪᱷᱩᱴᱠᱤ ᱟᱭᱳ,step mother,
ᱪᱷᱩᱴᱠᱤ ᱦᱚᱯᱚᱱ,step son,
ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ,step brother,
ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ,step sister,
ᱪᱷᱩᱴᱠᱤ ᱵᱚᱠᱚᱧ ᱮᱨᱟ,step daughter,
ᱪᱷᱮᱨᱚᱠᱤ,Cherokee,
ᱪᱷᱮᱪᱷᱮᱱ,Chechen,
ᱪᱷᱮᱭᱮᱱ,Cheyenne,
ᱫᱟ.ᱞ,pulse,
ᱫᱟᱜ ᱦᱟ.ᱛᱤ,rhinoceros,
ᱫᱟᱜᱠᱚᱦᱲᱟ,watermelon,
ᱫᱟᱢᱠᱚᱢ,calf,
ᱫᱟᱨᱮ,Tree,
ᱫᱤᱱ,day,
ᱫᱩᱞᱟ.ᱲ,love,
ᱫᱩᱲᱩᱵ,to sit,
ᱫᱮᱣᱟᱹᱱᱟᱜᱟᱹᱨᱤ,Devanagari,
ᱫᱮᱭᱟ,back,
ᱭ,Y,
ᱭᱚᱨᱩᱵᱟ,Yoruba,
ᱭᱟᱝᱵᱮᱱ,Yangben,
ᱭᱟᱣ,Yao,
ᱭᱟᱯᱤᱥ,Yapese,
ᱭᱤᱫᱤᱥ,Yiddish,
ᱭᱩ ᱥᱤ ᱮ ᱮᱥ,UCAS,
ᱭᱩ ᱮᱥ ᱟᱝᱜᱽᱨᱮᱡᱤ,US English,
ᱭᱩᱠᱨᱮᱱᱤᱭᱟᱹᱱ,Ukrainian,
ᱭᱩᱠᱮ ᱟᱝᱜᱽᱨᱮᱡᱤ,UK English,
ᱭᱩᱨᱚᱯᱤᱭᱟᱱ ᱯᱩᱨᱛᱜᱟᱞᱤ,European Portuguese,
ᱭᱩᱨᱚᱯᱤᱭᱟᱹᱱ ᱥᱯᱮᱱᱤᱥ,European Spanish,
ᱭᱮᱡᱤᱫᱤ,Yezidi,
ᱭᱮᱢᱵᱟ,Yemba,
ᱮ ᱠᱟᱱᱟ,Unknown,
ᱮᱛᱚᱢ ᱥᱚᱛᱷᱚ,Northern Sotho,
ᱮᱛᱚᱢ ᱥᱟᱢᱤ,Northern Sami,
ᱮᱛᱚᱢ ᱯᱩᱨᱤ,Northern Luri,
ᱮᱛᱚᱢ ᱯᱷᱨᱤᱥᱤᱭᱟᱱ,Northern Frisian,
ᱮᱛᱚᱢ ᱱᱮᱵᱮᱞᱮ,North Ndebele,
ᱮᱛᱷᱤᱭᱚᱯᱤᱠ,Ethiopic,
ᱮᱞᱟᱢᱤᱴ,Elamite,
ᱮᱞᱤᱢᱟᱭᱤᱠ,Elymaic,
ᱮᱞᱵᱟᱥᱟᱱ,Elbasan,
ᱮᱠᱥᱴᱨᱤᱢᱟᱰᱩᱨᱟᱱ,Extremaduran,
ᱮᱢᱤᱞᱤᱭᱟᱹᱱ,Emilian,
ᱮᱢᱵᱩ,Embu,
ᱮᱥᱠᱨᱮᱢ,ice-cream,
ᱮᱥᱯᱟᱨᱮᱱᱛᱚ,Esperanto,
ᱮᱥᱴᱚᱱᱤᱭᱟᱹᱱ,Estonian,
ᱮᱥᱴᱨᱟᱝᱜᱮᱞᱚ ᱥᱭᱨᱤᱞᱤᱠ,Estrangelo Syriac,
ᱮᱥᱼᱮ ᱠᱩᱱᱮᱭᱯᱷᱚᱨᱢ,S-A Cuneiform,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ,eighty,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,eighty six,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱟᱨᱮᱞ,eighty nine,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,eighty five,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱢᱤᱫ,eighty one,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,eighty eight,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱮᱭᱟᱭ,eighty seven,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱩᱱ,eighty four,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱯᱮ,eighty three,
ᱮᱨᱟ.ᱞ ᱜᱮᱞ ᱵᱟᱨ,eighty two,
ᱮᱨᱡᱭᱟ,Erzya,
ᱮᱫᱼᱟ,Unknown,
ᱮᱭᱚ,Unknown,
ᱮᱭᱟᱭ,seven,
ᱮᱭᱟᱭ ᱜᱮᱞ,seventy,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,seventy six,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨᱮᱞ,seventy nine,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,seventy five,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱤᱫ,seventy one,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,seventy eight,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ,seventy seven,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱩᱱ,seventy four,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ,seventy three,
ᱮᱭᱟᱭ ᱜᱮᱞ ᱵᱟᱨ,seventy two,
ᱮᱯᱨᱤᱞ,april,
ᱮᱱ ᱠᱚ,N’Ko,
ᱮᱱᱠᱚ,N’Ko,
ᱮᱸᱜᱟ ᱠᱟ.ᱴᱩᱵ,thumb,
ᱮᱸᱜᱟ ᱢᱮᱨᱚᱢ,she goat,
ᱮᱸᱜᱟ ᱥᱟᱫᱚᱢ,mare,
ᱮᱸᱜᱟ ᱥᱮᱛᱟ,bitch,
ᱯᱚᱛᱚᱵ,Book,
ᱯᱚᱞᱟᱨᱰ ᱯᱷᱚᱱᱮᱴᱤᱠ,Pollard Phonetic,
ᱯᱚᱞᱤᱥ,Polish,
ᱯᱚᱦᱱᱯᱮᱭᱟᱹᱱ,Pohnpeian,
ᱯᱚᱧᱡᱟᱵᱤ,Punjabi,
ᱯᱚᱱᱤᱨ,cheese,
ᱯᱚᱱᱴᱤᱠ,Pontic,
ᱯᱚᱴᱚᱢ ᱠᱩᱵᱤ,cabbage,
ᱯᱞᱟᱣᱴᱰᱟᱭᱮᱴᱥᱪ,Plautdietsch,
ᱯᱟ.ᱨᱣᱟ,wine,
ᱯᱟ.ᱱᱤᱨ,cheese,
ᱯᱟᱞᱚᱱ ᱟᱲᱟᱜ,spinach,
ᱯᱟᱞᱟᱩᱣᱟᱱ,Palauan,
ᱯᱟᱞᱟᱴᱤᱱ ᱡᱟᱹᱨᱢᱟᱹᱱ,Palatine German,
ᱯᱟᱞᱢᱟᱭᱨᱤᱱ,Palmyrene,
ᱯᱟᱞᱤ,Pali,
ᱯᱟᱢᱯᱟᱱᱜᱟ,Pampanga,
ᱯᱟᱣ ᱪᱤᱱ ᱦᱟᱣ,Pau Cin Hau,
ᱯᱟᱥᱛᱚ,Pashto,
ᱯᱟᱦᱞᱟᱹᱣᱤ,Pahlavi,
ᱯᱟᱦᱟᱣ ᱢᱚᱝ,Pahawh Hmong,
ᱯᱟᱨᱣᱟ,pigeon,
ᱯᱟᱪᱮ ᱢᱟᱨᱤ,Western Mari,
ᱯᱟᱪᱮ ᱥᱭᱨᱤᱭᱟᱠ,Western Syriac,
ᱯᱟᱪᱮ ᱯᱷᱞᱮᱢᱤᱥ,West Flemish,
ᱯᱟᱪᱮ ᱯᱷᱨᱤᱥᱤᱭᱟᱹᱱ,Western Frisian,
ᱯᱟᱪᱮ ᱵᱟᱞᱚᱪᱤ,Western Balochi,
ᱯᱟᱭᱮᱰᱢᱚᱱᱴᱤᱡᱽ,Piedmontese,
ᱯᱟᱯᱤᱭᱟᱢᱮᱱᱴᱚ,Papiamento,
ᱯᱟᱱᱜᱟᱥᱤᱱᱟᱱ,Pangasinan,
ᱯᱟᱹᱨᱥᱚᱼᱟᱹᱨᱵᱤ,Perso-Arabic,
ᱯᱟᱹᱨᱥᱤᱭᱟᱹᱱ,Persian,
ᱯᱤᱞᱤᱯᱤᱱᱚ,Filipino,
ᱯᱤᱠᱟᱰ,Picard,
ᱯᱦᱮᱵᱨᱩᱟᱨᱭ,february,
ᱯᱨᱩᱥᱤᱭᱟᱹᱱ,Prussian,
ᱯᱩ ᱜᱮᱞ ᱢᱚᱬᱮ,forty five,
ᱯᱩᱡᱟᱹ,puja,
ᱯᱩᱥᱛᱚ,Pushto,
ᱯᱩᱥᱤ,cat,
ᱯᱩᱥᱤ ᱜᱤᱫᱽᱨᱟ.,kitten,
ᱯᱩᱨᱛᱜᱟᱞᱤ,Portuguese,
ᱯᱩᱫᱱᱟ.,mint,
ᱯᱩᱱ,four,
ᱯᱩᱱ ᱜᱮᱞ,forty,
ᱯᱩᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,forty six,
ᱯᱩᱱ ᱜᱮᱞ ᱟᱨᱮᱞ,forty nine,
ᱯᱩᱱ ᱜᱮᱞ ᱢᱤᱫ,forty one,
ᱯᱩᱱ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,forty eight,
ᱯᱩᱱ ᱜᱮᱞ ᱮᱭᱟᱭ,forty seven,
ᱯᱩᱱ ᱜᱮᱞ ᱯᱩᱱ,forty four,
ᱯᱩᱱ ᱜᱮᱞ ᱯᱮ,forty three,
ᱯᱩᱱ ᱜᱮᱞ ᱵᱟᱨ,forty two,
ᱯᱩᱸᱰ,white,
ᱯᱮ,three,
ᱯᱮ ᱜᱮᱞ,thirty,
ᱯᱮ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,thirty six,
ᱯᱮ ᱜᱮᱞ ᱟᱨᱮᱞ,thirty nine,
ᱯᱮ ᱜᱮᱞ ᱢᱚᱸᱮ,thirty five,
ᱯᱮ ᱜᱮᱞ ᱢᱤᱫ,thirty one,
ᱯᱮ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,thirty eight,
ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ,thirty seven,
ᱯᱮ ᱜᱮᱞ ᱯᱩᱱ,thirty four,
ᱯᱮ ᱜᱮᱞ ᱯᱮ,thirty three,
ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ,thirty two,
ᱯᱮᱞᱮ,Kpelle,
ᱯᱮᱭᱟᱡ,onion,
ᱯᱮᱱᱭᱥᱮᱞᱵᱷᱤᱭᱟ ᱡᱟᱹᱨᱢᱟᱹᱱ,Pennsylvania German,
ᱯᱮᱲᱟ,guest,
ᱯᱷᱚᱮᱱᱤᱥᱤᱭᱟᱱ,Phoenician,
ᱯᱷᱚᱮᱱᱤᱥᱤᱭᱟᱹᱱ,Phoenician,
ᱯᱷᱚᱱ,Fon,
ᱯᱷᱞᱮᱢᱤᱥ,Flemish,
ᱯᱷᱟᱜᱥᱼᱯᱟ,Phags-pa,
ᱯᱷᱟᱝ,Fang,
ᱯᱷᱟᱨᱚᱤᱥ,Faroese,
ᱯᱷᱟᱱᱴᱤ,Fanti,
ᱯᱷᱤᱡᱤ ᱦᱤᱱᱫᱤ,Fiji Hindi,
ᱯᱷᱤᱡᱤᱭᱟᱹᱱ,Fijian,
ᱯᱷᱤᱱᱤᱥ,Finnish,
ᱯᱷᱨᱟᱠᱛᱩᱨ ᱞᱮᱴᱤᱱ,Fraktur Latin,
ᱯᱷᱨᱟᱥᱟᱹᱨ,Fraser,
ᱯᱷᱨᱟᱯᱷᱨᱟ,Frafra,
ᱯᱷᱨᱤᱩᱞᱤᱭᱟᱹᱱ,Friulian,
ᱯᱷᱨᱮᱧᱪ,French,
ᱯᱷᱩᱞᱟᱦ,Fulah,
ᱰᱚᱜᱽᱨᱟ,Dogra,
ᱰᱚᱜᱽᱨᱤ,Dogri,
ᱰᱚᱜᱽᱨᱤᱵ,Dogrib,
ᱰᱚᱪ,Dutch,
ᱰᱚᱱᱜᱟ,Ndonga,
ᱰᱟᱜᱽᱨᱤ ᱡᱤᱞ,beef,
ᱰᱟᱝᱨᱟ,ox,
ᱰᱟᱡᱟᱜᱟ,Dazaga,
ᱰᱟᱨᱤ,Dari,
ᱰᱟᱴᱟ,tooth,
ᱰᱟᱸᱰᱟ,waist,
ᱰᱟᱹᱠᱚᱴᱟ,Dakota,
ᱰᱟᱹᱨᱜᱽᱣᱟ,Dargwa,
ᱰᱣᱟᱞᱟ,Duala,
ᱰᱤᱣᱮᱥ ᱟᱠᱩᱨᱩ,Dives Akuru,
ᱰᱤᱣᱮᱦᱤ,Divehi,
ᱰᱤᱥᱮᱢᱵᱚᱨ,december,
ᱰᱤᱱᱠᱟ,Dinka,
ᱰᱩᱯᱞᱚᱭᱟᱱ ᱥᱚᱛᱷᱞᱮᱸᱰ,Duployan shorthand,
ᱰᱩᱵᱷᱤ,rump,
ᱰᱭᱩᱞᱟ,Dyula,
ᱰᱮᱞᱟᱣᱟᱨᱮ,Delaware,
ᱰᱮᱠᱮ,buttock,
ᱰᱮᱡᱟᱹᱨᱴ,Deseret,
ᱰᱮᱱᱤᱥ,Danish,
ᱰᱮᱸᱜᱟᱲ,brinjal,
ᱱᱚᱜᱟᱭ,Nogai,
ᱱᱚᱣᱤᱭᱟᱞ,Novial,
ᱱᱚᱨᱣᱮᱭᱟᱹᱱ,Norwegian,
ᱱᱚᱨᱣᱮᱭᱟᱹᱱ ᱱᱟᱭᱱᱟᱨᱥᱠ,Norwegian Nynorsk,
ᱱᱚᱨᱣᱮᱭᱟᱹᱱ ᱵᱚᱠᱢᱟᱞ,Norwegian Bokmål,
ᱱᱚᱵᱷᱮᱢᱵᱚᱨ,november,
ᱱᱚᱶᱟ,this,
ᱱᱟᱠᱥᱤ ᱜᱮᱵᱟ,Naxi Geba,
ᱱᱟᱡᱫᱤ ᱟᱹᱨᱵᱤᱠ,Najdi Arabic,
ᱱᱟᱢᱟ,Nama,
ᱱᱟᱢᱵᱮ,Ngambay,
ᱱᱟᱣᱟᱡᱚ,Navajo,
ᱱᱟᱥᱴᱟᱞᱤᱠ,Nastaliq,
ᱱᱟᱩᱨᱩ,Nauru,
ᱱᱟᱭᱟᱠᱮᱝᱜ ᱯᱩᱣᱟᱪᱷᱮ ᱦᱚᱝ,Nyiakeng Puachue Hmong,
ᱱᱟᱭᱡᱮᱨᱤᱭᱟᱹᱱ ᱯᱤᱰᱜᱤᱱ,Nigerian Pidgin,
ᱱᱟᱶᱟ ᱛᱟᱭ ᱞᱣᱮ,New Tai Lue,
ᱱᱟᱹᱱᱫᱤᱱᱟᱜᱤᱨᱤ,Nandinagari,
ᱱᱟᱹᱵᱟᱹᱴᱟᱤᱭᱟᱹᱱ,Nabataean,
ᱱᱤᱡᱟ.ᱨ,own,
ᱱᱤᱡᱟ.ᱨ ᱯᱮᱲᱟ,relative,
ᱱᱤᱣᱮᱱ,Niuean,
ᱱᱤᱥᱩ,Nüshu,
ᱱᱤᱭᱟᱥ,Nias,
ᱱᱤᱭᱟᱯᱚᱞᱤᱴᱟᱱ,Neapolitan,
ᱱᱤᱭᱟᱹᱱᱵᱩᱱ,Ngiemboon,
ᱱᱩᱭ,this,
ᱱᱩᱮᱨ,Nuer,
ᱱᱭᱚᱨᱚ,Nyoro,
ᱱᱭᱟᱢᱣᱮᱡᱤ,Nyamwezi,
ᱱᱭᱟᱥᱟ ᱴᱚᱱᱜᱟ,Nyasa Tonga,
ᱱᱭᱟᱱᱠᱚᱞᱮ,Nyankole,
ᱱᱭᱟᱱᱡᱟ,Nyanja,
ᱱᱮᱣᱟ,Newa,
ᱱᱮᱣᱟᱨᱤ,Newari,
ᱱᱮᱯᱟᱯᱤ,Nepali,
ᱱᱷᱤᱱᱜᱟᱴᱩ,Nheengatu,
ᱳ ᱱᱟᱜᱟ,Ao Naga,
ᱳᱡᱤᱵᱽᱣᱟ,Ojibwa,
ᱳᱥᱤᱴᱟᱱ,Occitan,
ᱳᱥᱮᱜᱽ,Osage,
ᱳᱥᱮᱴᱤᱠ,Ossetic,
ᱳᱨᱚᱢᱚ,Oromo,
ᱳᱰᱤᱭᱟ,Odia,
ᱳᱴᱚᱢᱟᱱ ᱴᱟᱹᱨᱠᱤᱥ,Ottoman Turkish,
ᱴᱚᱝᱜᱟᱱ,Tongan,
ᱴᱚᱠ ᱯᱤᱥᱤᱱ,Tok Pisin,
ᱴᱚᱠᱮᱞᱟᱣ,Tokelau,
ᱴᱚᱨᱱᱮᱱᱰᱟᱞᱮᱱ ᱯᱷᱤᱱᱤᱥ,Tornedalen Finnish,
ᱴᱞᱟᱭᱤᱴ,Tlingit,
ᱴᱟᱜᱟᱞᱚᱜ,Tagalog,
ᱴᱟᱜᱽᱵᱟᱱᱣᱟ,Tagbanwa,
ᱴᱟᱝᱜᱩᱴ,Tangut,
ᱴᱟᱠᱨᱤ,Takri,
ᱴᱟᱠᱪᱮᱞᱦᱤᱛ,Tachelhit,
ᱴᱟᱤᱚᱳᱮᱚᱯᱳᱮ,Tahitian,
ᱴᱟᱭᱴᱟ,Taita,
ᱴᱟᱲᱟᱝ,hour,
ᱴᱟᱲᱮ,carry,
ᱴᱟᱲᱮᱭᱟᱜ,carried one,
ᱴᱟᱴᱚᱨ,Tatar,
ᱴᱣᱤ,Twi,
ᱴᱤᱜᱽᱨ,Tigrinya,
ᱴᱤᱜᱽᱨᱤ,Tigre,
ᱴᱤᱡ,second,
ᱴᱤᱢᱱᱮ,Timne,
ᱴᱤᱭ,Tiv,
ᱴᱤᱯᱤᱡ,minute,
ᱴᱤᱯᱷᱤᱱᱟᱜᱷ,Tifinagh,
ᱴᱨᱟᱰᱤᱥᱚᱱᱟᱞ,Traditional,
ᱴᱨᱟᱰᱤᱥᱚᱱᱟᱞ ᱦᱟᱱ,Traditional Han,
ᱴᱨᱮᱰᱤᱥᱱᱟᱞ ᱢᱟᱫᱟᱨᱤᱱ ᱪᱟᱭᱱᱤᱡᱽ,Traditional Mandarin Chinese,
ᱴᱨᱮᱰᱤᱥᱱᱟᱞ ᱪᱟᱭᱱᱤᱡᱽ,Traditional Chinese,
ᱴᱩᱞᱩ,Tulu,
ᱴᱩᱢᱵᱩᱠᱟ,Tumbuka,
ᱴᱩᱣᱟᱞᱟᱱ,Tuvalu,
ᱴᱩᱣᱤᱱᱤᱭᱟᱹᱱ,Tuvinian,
ᱴᱩᱨᱭᱚ,Turoyo,
ᱴᱩᱱᱤᱥᱤᱭᱟᱱ ᱚᱹᱨᱵᱤ,Tunisian Arabic,
ᱴᱭᱟᱯ,Tyap,
ᱴᱮᱝᱣᱟᱨ,Tengwar,
ᱴᱮᱥᱚ,Teso,
ᱴᱮᱴᱩᱢ,Tetum,
"ᱴᱷᱤᱴᱲᱟᱜ, ᱜᱚᱱᱴᱷᱮ",knee,
ᱵᱚᱠᱚᱧ ᱠᱩᱲᱤ,sister,
ᱵᱚᱥᱱᱤᱭᱟᱹᱱ,Bosnian,
ᱵᱚᱨᱚ,lungs,
ᱵᱚᱨᱚᱯᱷ,ice,
ᱵᱚᱭᱦᱟ,brother,
ᱵᱚᱯᱚᱢᱚᱯᱷᱚ,Bopomofo,
ᱵᱚᱰᱚ,Bodo,
ᱵᱚᱲᱚᱭ,carore,
ᱵᱚᱷᱚᱜ,head,
ᱵᱞᱤᱥᱤᱢᱵᱚᱞᱥ,Blissymbols,
ᱵᱟᱝ ᱚᱞ,Unwritten,
ᱵᱟᱝ ᱵᱟᱲᱟᱭ ᱪᱤᱠᱤ,Unknown Script,
ᱵᱟᱝ ᱵᱟᱲᱟᱭ ᱯᱟᱹᱨᱥᱤ,Unknown language,
ᱵᱟᱝᱜᱞᱟ,Bangla,
ᱵᱟᱝᱠᱷᱟᱱ,or else,
ᱵᱟᱞᱤᱱᱤᱡᱽ,Balinese,
ᱵᱟᱞᱮ,tuesday,
ᱵᱟᱠᱷᱛᱤᱭᱟᱨᱤ,Bakhtiari,
ᱵᱟᱢᱩᱱ,Bamun,
ᱵᱟᱢᱩᱱ,Bamum,
ᱵᱟᱢᱵᱟᱨᱟ,Bambara,
ᱵᱟᱣᱟᱨᱤᱭᱟᱹᱱ,Bavarian,
ᱵᱟᱤᱠ,Basque,
ᱵᱟᱥᱟ,Basaa,
ᱵᱟᱥᱟ ᱣᱟᱦ,Bassa Vah,
ᱵᱟᱥᱠᱤᱨ,Bashkir,
ᱵᱟᱦᱟ ᱠᱩᱵᱤ,cauliflower,
ᱵᱟᱨ,two,
ᱵᱟᱨ ᱜᱮᱞ,twenty,
ᱵᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ,twenty six,
ᱵᱟᱨ ᱜᱮᱞ ᱟᱨᱮᱞ,twenty nine,
ᱵᱟᱨ ᱜᱮᱞ ᱢᱚᱸᱬᱮ,twenty five,
ᱵᱟᱨ ᱜᱮᱞ ᱢᱤᱫ,twenty one,
ᱵᱟᱨ ᱜᱮᱞ ᱤᱨᱟ.ᱞ,twenty eight,
ᱵᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ,twenty seven,
ᱵᱟᱨ ᱜᱮᱞ ᱯᱩᱱ,twenty four,
ᱵᱟᱨ ᱜᱮᱞ ᱯᱮ,twenty three,
ᱵᱟᱨ ᱜᱮᱞ ᱵᱟᱨ,twenty two,
ᱵᱟᱯᱞᱟ ᱠᱟ.ᱴᱩᱵᱽ,ring finger,
ᱵᱟᱯᱷᱤᱭᱟ,Bafia,
ᱵᱟᱯᱷᱩᱛ,Bafut,
ᱵᱟᱰᱮᱜᱟ,Badaga,
ᱵᱟᱱᱟ,bear,
ᱵᱟᱱᱯᱩᱨ,Banjar,
ᱵᱟᱴᱟᱠ ᱛᱚᱵᱟ,Batak Toba,
ᱵᱟᱵᱟ,father,
ᱵᱟᱹᱛᱟᱹᱠ,Batak,
ᱵᱟᱹᱝᱜᱞᱟ,Bangla,
ᱵᱟᱹᱞᱩᱪᱤ,Baluchi,
ᱵᱤᱞᱟ.ᱛᱤ,tomato,
ᱵᱤᱞᱟ.ᱛᱤ ᱥᱷᱚᱥᱷᱚ,cashew,
ᱵᱤᱞᱟ.ᱛᱤ ᱪᱟᱴᱱᱤ,tomato sauce,
ᱵᱤᱞᱱ,Blin,
ᱵᱤᱠᱚᱞ,Bikol,
ᱵᱤᱥᱞᱟᱢᱟ,Bislama,
ᱵᱤᱥᱠᱩᱴ,biscuit,
ᱵᱤᱥᱤᱡᱟᱲ,spinal cord,
ᱵᱤᱥᱱᱩᱯᱨᱤᱭᱟ,Bishnupriya,
ᱵᱤᱨ ᱥᱩᱠᱨᱤ,boar,
ᱵᱤᱨᱦᱚᱲ,gorilla,
ᱵᱤᱱᱤ,Bini,
ᱵᱤᱴᱤ,daughter,
ᱵᱨᱟᱡᱤᱞᱤᱭᱟᱱ ᱯᱩᱨᱛᱜᱟᱞᱤ,Brazilian Portuguese,
ᱵᱨᱤᱴᱤᱥ ᱟᱝᱜᱽᱨᱮᱡᱤ,British English,
ᱵᱩᱜᱤᱱᱤᱡᱽ,Buginese,
ᱵᱩᱞᱜᱮᱨᱤ,Bulgarian,
ᱵᱩᱞᱩ,Bulu,
"ᱵᱩᱞᱩ, ᱫᱷᱟᱲᱟ",thigh,
ᱵᱩᱠ ᱯᱟᱦᱞᱟᱹᱣᱤ,Book Pahlavi,
ᱵᱩᱠᱟ.,navel,
ᱵᱩᱦᱤᱫ,Buhid,
ᱵᱩᱨᱢᱤᱡᱽ,Burmese,
ᱵᱩᱨᱤᱭᱟᱹᱛ,Buriat,
ᱵᱮᱞᱟᱨᱩᱥᱤᱭᱟᱹᱱ,Belarusian,
ᱵᱮᱡᱟ,Beja,
ᱵᱮᱢᱵᱟ,Bemba,
ᱵᱮᱱᱜᱩᱱᱤ,brinjal,
ᱵᱮᱱᱟ,Bena,
ᱵᱮᱴᱟ,son,
ᱵᱮᱴᱣᱟ,Betawi,
ᱵᱷᱚᱞᱟᱯᱩᱠ,Volapük,
ᱵᱷᱚᱡᱽᱯᱩᱨᱤ,Bhojpuri,
ᱵᱷᱚᱨᱚ,Võro,
ᱵᱷᱟᱭ,Vai,
ᱵᱷᱟᱭᱠᱥᱩᱠᱤ,Bhaiksuki,
ᱵᱷᱤᱰᱤ,sheep,
ᱵᱷᱤᱰᱤ ᱜᱤᱫᱽᱨᱟ.,lamb,
ᱵᱷᱩᱱᱡᱚ,Vunjo,
ᱵᱷᱮᱰᱣᱟ,lady finger,
ᱵᱽᱨᱟᱦᱢᱦᱤ,Brahmi,
ᱵᱽᱨᱟᱦᱩᱱᱤ,Brahui,
ᱵᱽᱨᱟᱹᱡᱽ,Braj,
ᱵᱽᱨᱮᱞᱤ,Braille,
ᱵᱽᱨᱮᱴᱚᱱ,Breton,
ᱟᱯᱮ,You,
ᱟᱯᱮ ᱠᱚ,You,
ᱟᱡ/ᱥᱩᱱ/ᱦᱟᱹᱱᱤ,He,
ᱟᱡ/ᱥᱩᱱ/ᱦᱟᱹᱱᱤ,She,
ᱱᱚᱶᱟ,It/This,
ᱩᱱᱠᱩ,They,
ᱟᱯᱮ ᱠᱚ,Thou,
ᱟᱢ,Thee,
ᱟᱢ ᱜᱮ,(To you),
ᱤᱧ ᱜᱮ,Me,
ᱟᱡᱟᱜ/ᱟᱹᱡᱤᱡ,His,
ᱟᱡᱟᱜ/ᱟᱹᱡᱤᱡ,Her,
ᱩᱱᱤ ᱜᱮ/ᱩᱱᱤ,Him,
ᱟᱞᱮ ᱠᱚ,Us,
ᱩᱱᱠᱩ ᱠᱚ,Them,
ᱤᱧᱟᱜ,My,
ᱟᱢᱟᱜ/ᱟᱯᱮᱭᱟᱜ,Your,
ᱟᱵᱚᱣᱟᱜ/ᱟᱵᱚ ᱠᱚᱣᱟᱜ,Our,
